"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"0.1";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";
"JP1";"FAN";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"LED1";"USER1";"LED3MM";"LED3MM";"LED";"";"";"";"";
"LED2";"USER2";"LED3MM";"LED3MM";"LED";"";"";"";"";
"LED3";"USER3";"LED3MM";"LED3MM";"LED";"";"";"";"";
"R1";"270";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R2";"270";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R3";"270";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R4";"1k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R5";"1k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R6";"1k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R7";"10k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R8";"10k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R9";"10k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R10";"1k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R11";"1k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R12";"1k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R13";"1k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R14";"1k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R15";"10k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R16";"10k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R17";"10k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R18";"10k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R19";"10k";"R-US_0207/7";"0207/7";"RESISTOR, American symbol";"";"";"";"";
"R20";"20k";"TRIM_US-B25P";"B25P";"POTENTIOMETER";"";"";"";"";
"S1";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";
"S2";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";
"S3";"DTS-6";"DTS-6";"DTS-6";"";"";"";"";"";
"SV1";"GPIO";"MA20-2";"MA20-2";"PIN HEADER";"";"";"unknown";"unknown";
"SV2";"I2C_1";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV3";"I2C_2";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV4";"UART";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV5";"I2C_3";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV6";"I2C_4";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV7";"LCD";"MA07-2";"MA07-2";"PIN HEADER";"";"";"unknown";"unknown";
"SW1";"USER4";"SW_DIP-5";"EDG-05";"DIP SWITCH";"";"";"";"";
